Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price
4.3,4,128,6,48,13,4000,24999
3.4,6,64,4.5,48,12,4000,15999
4.3,4,4,4.5,64,16,4000,15000
4.4,6,64,6.4,48,15,3800,18999
4.5,6,128,6.18,35,15,3800,18999
4.7,8,128,5.8,35,12,5000,140300
4.4,8,128,6.7,64,5,4700,29999
4.5,8,128,6.7,48,12,4700,47999
4.4,4,128,6.53,48,2,4020,16490
4.5,8,256,6.18,35,5,3800,22999
3.9,6,32,4.54,64,8,4100,1099
3.8,6,32,4.5,64,8,1050,1299
4.5,2,16,5.5,8,8,4200,5498
3.8,6,32,4.7,64,8,3000,3999
4.5,8,256,6.67,48,8,3800,43999
4.6,6,128,6.67,48,8,3800,42990
4.1,6,32,3.7,64,8,4700,990
4.5,8,128,6.7,64,1,4700,77999
4.5,8,128,6.7,48,12,4700,47999
4.3,2,32,6.2,38,2,4230,12990
4.1,8,64,4.54,64,8,2500,1199
3.7,6,32,2,64,13,1550,1699
3.8,6,32,4.54,48,8,3000,1349
3.8,6,32,4.54,25,23,3000,1240
4.5,6,32,4.5,64,13,3000,649
3.8,12,24,2,64,8,1550,1690
3.7,6,32,4.77,48,8,1750,927
3.6,8,32,4.5,48,8,3000,649
3.9,6,32,4.5,64,15,3000,999
4.5,6,128,6.4,35,13,3800,54990
4,4,64,5.5,38,1,4010,21499
4.2,6,128,6.53,48,2,3800,15999
4.2,6,24,4.54,48,8,1750,1799
4.2,6,32,4.54,48,18,1750,1549
4,6,32,4.5,48,8,3000,847
3.9,12,12,4.54,48,13,3000,1579
3.9,6,32,4.54,48,5,3000,1330
3.6,6,32,4.54,38,8,1200,945
3.6,6,32,4.54,38,0,1200,945
3.8,3,32,6.2,48,8,3000,15899
4.1,8,128,6.4,35,20,3000,31590
3.9,6,32,4.77,48,8,1750,1451
4.1,3,32,5.4,38,5,3000,7490
4.3,1,16,4.5,48,8,3000,798
4.3,1,16,4.5,48,2,3000,869
3.8,4,64,4.54,48,8,1200,3580
4,6,32,4.54,64,14,2500,1695
3.5,6,32,4.52,48,8,3800,2599
4.7,8,64,6.5,35,12,3000,117100
4.6,4,64,6.2,35,8,3500,53990
4.4,6,128,6.39,48,12,3800,31999
3.8,6,32,4.54,48,8,2800,1299
4.1,8,64,4.54,64,13,2500,1390
3.6,6,32,4.5,48,8,3000,898
3.5,6,32,4.5,64,17,1050,799
4.7,12,256,5.8,35,12,3800,121300
3.7,10,32,4.5,64,8,3000,799
